Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Protein OS-9	Os9	Q8K2C7;Q8K2C7-2	4	5	5	2	2	4	4	3	4	5	1	2	2	3	2	2	3.125	5	0.010935518	672	21.83	22.72
	Akr1c20	Q8VC77;Q9CZU0	6	7	9	5	7	6	8	6	8	7	5	6	5	5	8	5	6.4375	9	0.011090173	NA	NA	NA
Cystathionine beta-synthase	Cbs	Q91WT9;Q91WT9-2	46	71	70	69	53	66	70	58	64	47	59	42	69	48	53	59	59	71	0.011168619	561	22.74	24.89
Stomatin-like protein 2	Stoml2	Q99JB2;F6WI02;A2AG39;A2AG41	7	8	8	6	7	6	7	6	5	5	7	5	8	3	6	7	6.3125	8	0.011173725	353	21.28	23.19
Nuclear receptor coactivator 2	Ncoa2	Q61026;E9PV80	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0	0	0.875	2	0.003332007	1462	21.04	22.31
E3 ubiquitin-protein ligase Praja-1	Pja1	O55176	0	3	1	3	1	3	3	2	1	1	1	1	1	0	0	1	1.375	3	0.003703705	578	21.2	22.08
Protein phosphatase 1 regulatory subunit 3B	Ppp1r3b	Q8C767	1	0	1	1	1	0	2	1	2	1	1	0	2	1	1	2	1.0625	2	0.001928637	284	24.5	27.17
Vimentin	Vim	P20152;E9PZV5	26	25	24	23	24	23	27	21	26	21	25	21	29	25	30	23	24.5625	30	0.011627127	466	21.58	23.12
Peroxisomal targeting signal 1 receptor	Pex5	O09012-2;O09012;D3Z600	6	5	6	5	5	6	5	5	5	2	6	5	7	2	7	5	5.125	7	0.01184535	639	22.09	23.83
Annexin A2;Annexin	Anxa2	P07356;B0V2N7;B0V2N8;B0V2N5	15	14	19	18	14	19	17	17	17	14	16	11	20	11	19	21	16.375	21	0.012289012	339	23.46	26.22
Myosin phosphatase Rho-interacting protein	Mprip	P97434-2;P97434-5;P97434;P97434-3;Q5SWZ5;F6RND9;F6S5I0;P97434-4;E9PZ80	7	12	9	10	5	11	9	6	12	4	10	6	13	6	6	10	8.5	13	0.012213055	1024	21.98	23.1
DNA damage-binding protein 1	Ddb1	Q3U1J4;E9Q4W8	50	47	45	48	46	44	45	41	44	29	44	40	52	35	45	47	43.875	52	0.012063368	1140	23.25	25.75
UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase	Uap1	Q3UHZ7;Q91YN5;Q91YN5-3;Q91YN5-2	12	15	13	17	15	16	17	16	15	14	17	11	17	11	16	18	15	18	0.012284097	522	23.56	25.71
Cytidine monophosphate-N-acetylneuraminic acid hydroxylase	Cmah	Q61419;Q61419-2	7	13	11	12	7	10	12	12	15	9	13	8	11	9	8	11	10.5	15	0.012172925	577	25.57	27.94
	Spnb3	Q68FG2	31	34	38	30	37	30	41	27	35	19	38	22	35	21	32	29	31.1875	41	0.011489651	NA	NA	NA
Glucokinase regulatory protein	Gckr	Q91X44	22	22	24	25	25	16	23	19	25	13	29	20	19	16	23	21	21.375	29	0.012208161	587	22.92	25.16
Glycogen phosphorylase, liver form;Phosphorylase	Pygl	Q9ET01;Q3UEJ6	123	148	135	164	103	142	125	154	163	157	135	162	132	184	129	122	142.375	184	0.011880562	850	24.66	27.23
Peroxisomal acyl-coenzyme A oxidase 1	Acox1	Q9R0H0	80	105	98	111	77	94	105	95	89	84	105	96	97	100	95	101	95.75	111	0.012238551	661	24.1	26.43
Dedicator of cytokinesis protein 8	Dock8	Q8C147	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0.25	1	0.004762856	2100	23.68	25.86
mRNA-decapping enzyme 1A	Dcp1a	Q91YD3	2	2	1	2	2	3	1	3	2	2	2	2	2	2	1	2	1.9375	3	0.012448445	602	21.4	23.03
Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit	Pzp;A2m	D3YW52;Q61838	115	130	128	134	112	126	125	123	114	105	117	109	124	126	117	125	120.625	134	0.012712601	1495	23.5	26.07
Ornithine carbamoyltransferase, mitochondrial	Otc	P11725;Q8R1A8	116	129	116	125	100	128	139	112	113	144	136	134	151	143	129	145	128.75	151	0.012755984	354	23.92	26.57
Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed;Peptidyl-prolyl cis-trans isomerase	Fkbp4	P30416;F6S2D5;D6RDE2;F7CAT1	46	49	58	49	40	52	46	43	47	46	41	41	50	41	45	46	46.25	58	0.01307197	458	23.01	24.84
Bcl-2-associated transcription factor 1	Bclaf1	Q8K019;Q8K019-2;Q8K019-3	8	12	5	12	11	15	17	10	8	9	10	8	12	6	6	9	9.875	17	0.012883191	919	22.43	23.14
3-ketoacyl-CoA thiolase B, peroxisomal	Acaa1b	Q8VCH0	104	106	107	98	91	99	96	87	107	85	98	93	112	83	98	103	97.9375	112	0.012968674	424	20.77	22.99
Sorting nexin-2	Snx2	Q9CWK8	23	22	26	23	21	19	27	15	19	17	19	20	24	18	21	18	20.75	27	0.013032644	519	22.59	24.44
Lon protease homolog 2, peroxisomal;Lon protease homolog	Lonp2	Q9DBN5;E9Q6G7;Q9DBN5-3;Q9DBN5-2	17	15	15	14	18	10	17	11	15	12	17	13	21	13	14	13	14.6875	21	0.012880539	852	22.69	24.78
Ribonuclease;Ribonuclease H2 subunit A	Rnaseh2a	F6RP29;Q9CWY8;Q05C51	0	1	0	1	0	1	2	1	0	1	1	1	1	0	0	1	0.6875	2	0.00850039	301	22.87	24.95
Interleukin-6 receptor subunit beta	Il6st	G5E8D2;Q00560	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	0.625	1	0.009746906	917	23.27	25.36
Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	F5	O88783	0	2	0	2	3	2	1	2	0	2	0	2	2	2	0	0	1.25	3	0.005536521	2183	23.5	25.54
SPARC	Sparc	P07214;Q5NCU4	1	1	1	1	2	0	2	0	1	0	1	0	2	1	0	0	0.8125	2	0.008395778	302	23.89	25.63
Vitamin K epoxide reductase complex subunit 1-like protein 1	Vkorc1l1	Q6TEK5	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0.625	1	0.00545632	176	25.46	28.88
Cleavage stimulation factor subunit 3	Cstf3	Q99LI7	3	0	1	1	1	0	1	0	1	0	1	0	1	0	3	2	0.9375	3	0.011253581	717	24.55	26.7
Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	Enpp5	Q9EQG7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.013695324	477	25.21	27.71
Splicing factor 1	Sf1	D3YZC9;Q64213;Q64213-3;D3YZD0;E9Q4Q2;Q64213-2;D3YVH4	4	4	5	6	5	3	6	6	3	4	7	5	5	4	6	4	4.8125	7	0.013786963	653	21.73	22.07
Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B	Plg	P20918	20	18	24	23	18	20	23	24	19	21	26	19	27	22	22	28	22.125	28	0.013981444	812	23.37	24.91
Cysteine dioxygenase type 1	Cdo1	P60334	2	3	2	2	4	3	4	2	4	2	3	2	3	2	2	4	2.75	4	0.014055753	200	24.34	26.36
Cleavage and polyadenylation specificity factor subunit 5	Nudt21	Q9CQF3	7	8	8	6	7	4	6	6	5	5	10	4	6	5	6	6	6.1875	10	0.014085129	227	25.18	27.29
26S proteasome non-ATPase regulatory subunit 3	Psmd3	P14685	15	19	29	18	18	16	16	19	22	18	23	14	18	15	14	15	18.0625	29	0.014230745	530	23.4	25.29
Methyltransferase-like protein 9	Mettl9	Q9EPL4	1	1	3	1	1	2	0	2	1	2	0	2	0	1	0	0	1.0625	3	0.004263224	318	25.14	27.76
Retinol dehydrogenase 11	Rdh11	Q9QYF1;Q9R1R8;Q9R1R9	2	3	4	4	3	1	5	5	4	3	4	2	3	3	1	1	3	5	0.014524626	316	24.47	27.33
Carbonyl reductase family member 4	Cbr4	Q91VT4	10	12	13	9	9	8	11	10	10	7	12	7	11	7	11	12	9.9375	13	0.014659652	236	22.58	25.24
Sulfhydryl oxidase 1	Qsox1	Q8BND5;Q8BND5-2;Q8BND5-3	1	0	1	1	1	0	1	0	1	0	2	0	1	0	2	1	0.75	2	0.01385688	748	23.33	25.33
Serine protease inhibitor A3K	Serpina3k	P07759	25	27	25	26	17	32	21	23	25	20	28	28	24	24	25	30	25	32	0.015134575	418	23.52	26.16
Protein Red	Ik	Q9Z1M8	5	5	8	5	2	6	7	5	4	5	4	3	6	3	4	3	4.6875	8	0.015113257	557	22.98	24.14
Dimethylaniline monooxygenase [N-oxide-forming] 5	Fmo5	P97872	33	25	29	33	37	20	27	42	53	25	53	19	26	21	31	27	31.3125	53	0.015340691	533	24.35	26.76
Transcription elongation factor A protein 1	Tcea1	P10711;P10711-2	3	7	10	9	3	9	2	7	8	8	3	4	10	8	6	5	6.375	10	0.01551712	301	21.85	23.86
UBX domain-containing protein 1	Ubxn1	Q922Y1	6	6	4	5	5	5	3	5	3	3	4	2	7	3	4	6	4.4375	7	0.015667116	297	20.72	20.71
Serine/arginine-rich splicing factor 5	Srsf5	O35326;Q9D8S5;Q640L9;E9QKW3	6	3	10	5	5	5	6	5	7	5	6	4	5	7	6	8	5.8125	10	0.016090903	269	21.85	22.67
Dynein light chain roadblock-type 1	Dynlrb1	P62627	7	5	8	6	5	6	6	8	7	7	7	5	8	7	8	8	6.75	8	0.016226947	96	23.2	25.36
28S ribosomal protein S29, mitochondrial	Dap3	G3X9M0;Q9ER88;Q9ER88-2;G3UWZ6;G3UWM7	13	10	12	9	13	11	9	10	10	6	8	7	13	9	11	8	9.9375	13	0.016523307	391	24.25	26.25
Ras-related protein Rab-1B	Rab1b	Q9D1G1	4	3	13	5	3	6	4	6	7	5	4	8	4	8	5	3	5.5	13	0.016447539	201	23.05	26.03
Cathepsin F	Ctsf	Q9R013	2	4	4	4	2	2	2	2	3	2	2	2	3	3	4	3	2.75	4	0.016550024	462	23.88	26.32
Alanine aminotransferase 2	Gpt2	Q8BGT5	36	34	40	37	31	36	34	26	37	23	34	25	36	28	36	36	33.0625	40	0.016746097	522	23.25	25.25
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Atp2a2	F8WI94;O55143;O55143-2	4	2	14	10	10	1	10	21	23	3	24	2	6	2	5	2	8.6875	24	0.016926138	1044	23.36	25.99
Leukotriene A-4 hydrolase	Lta4h	P24527	46	36	43	37	37	35	37	33	40	26	46	35	42	36	43	45	38.5625	46	0.016991552	611	24.26	26.57
GTP-binding protein SAR1a	Sar1a	Q99JZ4;P36536	6	11	13	13	6	11	11	9	9	7	10	6	11	7	9	10	9.3125	13	0.017202574	198	24.48	27.44
Carbohydrate-responsive element-binding protein	Mlxipl	Q99MZ3;Q99MZ3-2;Q99MZ3-3;Q99MZ3-4;Q99MZ3-5	3	2	5	3	3	3	5	3	3	3	4	3	4	3	3	4	3.375	5	0.01710649	864	22.47	23.78
Parathymosin	Ptms	Q9D0J8	5	5	6	9	7	6	8	6	6	7	7	7	4	6	7	5	6.3125	9	0.017289602	101	17.81	17.57
Selenoprotein H	Selh	Q3UQA7	0	0	1	0	1	0	0	0	1	0	0	0	2	0	1	1	0.4375	2	0.007855965	116	22.27	23.41
Cytochrome P450 2E1	Cyp2e1	Q05421;Q0PGA1	12	13	16	16	8	11	16	22	25	12	24	9	11	12	12	12	14.4375	25	0.017558614	493	25.48	28.2
Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	Echdc3	Q9D7J9	16	18	16	16	17	17	22	15	16	19	18	20	16	17	17	19	17.4375	22	0.01759495	300	22.24	24.27
ADP-ribosylation factor-binding protein GGA2	Gga2	Q6P5E6;Q6P5E6-2	0	2	3	2	2	2	3	2	1	1	2	2	3	2	3	2	2	3	0.003364456	603	22.72	24.65
Calcyclin-binding protein	Cacybp	Q9CXW3	15	14	19	17	10	16	15	12	11	10	16	13	21	12	12	15	14.25	21	0.018330261	229	23.28	25.74
	Aamp	Q3TJ22	4	2	4	4	4	3	2	1	4	1	2	1	3	1	3	3	2.625	4	0.018522539	NA	NA	NA
Src substrate cortactin	Cttn	Q60598;Q921L6	9	14	16	16	9	16	15	14	14	8	16	13	12	12	11	15	13.125	16	0.018621286	546	22.49	23.89
Cingulin-like protein 1	Cgnl1	B2RSU6;Q6AW69;Q6AW69-4;Q6AW69-5;D3Z3H4;Q6AW69-3	12	9	5	9	12	9	9	6	5	3	8	2	12	3	7	10	7.5625	12	0.018824517	1298	21.26	22.37
B-cell receptor-associated protein 31	Bcap31	A2ALM8;Q61335	7	11	7	8	7	4	10	12	9	4	13	5	8	4	6	9	7.75	13	0.019161627	245	23.73	26.75
Phenylalanine--tRNA ligase alpha subunit	Farsa	Q8C0C7;E9PWY9;Q8BJG2	15	20	15	22	16	17	17	14	15	14	16	17	18	14	17	14	16.3125	22	0.019165346	508	23.83	25.69
Catechol O-methyltransferase	Comt	Q91XH4;O88587;O88587-2	43	54	53	63	37	52	51	54	50	51	56	48	55	50	54	59	51.875	63	0.019108872	265	23.99	26.84
Acyl-coenzyme A thioesterase 8	Acot8	P58137;Q8BZR4	4	7	7	6	4	4	6	4	6	3	5	2	5	4	4	4	4.6875	7	0.019519332	320	24.06	25.77
ATP-binding cassette sub-family A member 6	Abca6	Q8K441	6	6	11	11	10	9	11	13	16	6	17	5	7	6	7	8	9.3125	17	0.019560826	1624	24.52	27.53
Monoacylglycerol lipase ABHD6	Abhd6	Q8R2Y0;Q8R2Y0-2	8	4	6	6	9	5	9	7	7	7	8	7	5	4	5	7	6.5	9	0.01972338	336	25.01	27.53
Endoplasmic reticulum resident protein 29	Erp29	P57759	14	14	19	14	12	14	16	17	13	13	17	17	15	13	14	18	15	19	0.019841468	262	23.17	26.27
Heterogeneous nuclear ribonucleoprotein A/B	Hnrnpab	Q20BD0;Q80XR6;Q99020;Q9D6G1	26	28	23	20	21	23	21	24	25	21	21	24	21	18	21	26	22.6875	28	0.019948841	285	21.68	23.48
Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 24	Usp24	E9PV45;B1AY13	9	8	11	7	10	5	9	7	11	5	10	5	6	4	8	7	7.625	11	0.020479549	2617	23.39	25.78
	Ces1b	D3Z5G7	1	3	2	4	1	4	1	3	2	3	2	3	3	3	2	3	2.5	4	0.020272016	NA	NA	NA
	Tpr	E9PZZ3;Q7M739	17	28	26	18	19	24	32	16	17	8	21	11	38	12	25	31	21.4375	38	0.020198015	NA	NA	NA
Acyl-coenzyme A synthetase ACSM5, mitochondrial	Acsm5	Q8BGA8	19	21	25	22	19	19	18	19	22	14	24	17	18	12	18	21	19.25	25	0.020288541	578	23.84	25.8
Bifunctional protein NCOAT;Protein O-GlcNAcase;Histone acetyltransferase	Mgea5	Q9EQQ9-3;Q9EQQ9;Q9EQQ9-2	1	1	1	1	2	1	2	1	1	1	3	1	1	1	1	1	1.25	3	0.020473911	916	23.58	25.69
	Eif4g2	G3XA17;F7CBP1	10	9	11	7	11	9	11	10	12	7	10	4	10	6	6	6	8.6875	12	0.020664735	NA	NA	NA
Oxysterol-binding protein	Osbpl8	B9EJ86;G3X9N6	0	0	2	2	0	2	0	3	3	0	2	0	0	0	0	0	0.875	3	0.011217899	889	23.68	25.93
Dimethylaniline monooxygenase [N-oxide-forming] 1	Fmo1	P50285	20	19	28	27	20	17	24	31	36	14	29	14	17	11	15	17	21.1875	36	0.020875524	532	24.98	27.78
Reticulon-4	Rtn4	Q99P72;Q8BHF5;Q8BH78;Q99P72-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020994045	1162	21.37	23.27
	Sorbs1	E9QNA7;Q62417-2;Q62417-7;F6XUF0;E9Q6A3;Q62417-4;F6PZD9;Q62417-6;Q62417-5;D3Z5J3;F6X019	10	9	14	13	8	14	10	11	15	14	8	14	12	15	15	10	12	15	0.021788276	NA	NA	NA
	Gstm6	G5E8M7;D3YVP8	12	16	17	17	10	15	13	15	17	12	15	15	16	13	15	11	14.3125	17	0.021801006	NA	NA	NA
COP9 signalosome complex subunit 3	Cops3	O88543;Q8BX58	5	8	10	5	6	5	11	6	8	2	8	1	9	1	7	9	6.3125	11	0.021814139	423	23.69	26.41
Bisphosphoglycerate mutase;Phosphoglycerate mutase	Bpgm	P15327;D3Z223	4	5	5	5	5	4	5	5	5	4	7	4	5	4	5	5	4.8125	7	0.021768593	259	24.27	26.02
RNA-binding protein with multiple splicing	Rbpms	Q78HG1;Q9CPU5;Q9WVB0;E9Q4D9	5	3	6	5	3	6	4	3	6	3	5	4	6	2	4	4	4.3125	6	0.021304182	197	23.29	25.03
Fetuin-B	Fetub	Q9QXC1;Q6YJU1	3	7	7	5	3	5	6	4	5	4	5	4	7	3	8	9	5.3125	9	0.02159501	388	22.25	23.95
Heat shock protein HSP 90-beta	Hsp90ab1	P11499	145	191	182	196	133	208	184	180	180	153	198	171	196	189	183	193	180.125	208	0.022126132	724	23.34	25.51
GTP cyclohydrolase 1	Gch1	Q05915	2	10	14	15	2	14	6	15	13	13	11	15	11	14	11	7	10.8125	15	0.022099374	241	22.98	24.49
Muscleblind-like protein 1	Mbnl1	Q8CHF5;G3X9Q0;Q9JKP5	13	14	15	13	17	11	18	9	16	7	13	7	17	5	13	15	12.6875	18	0.022253175	341	22.02	23.56
Atlastin-3	Atl3	Q91YH5;E9PYT3;Q91YH5-2	3	2	6	3	5	1	5	6	10	1	9	3	4	1	1	4	4	10	0.023033651	541	23.89	26.37
Heterogeneous nuclear ribonucleoprotein K	Hnrnpk;Gm7964	P61979-2;P61979;D3YWG1	72	90	66	75	72	78	73	63	65	62	62	64	72	66	64	66	69.375	90	0.022925858	463	22.32	23.77
	Cyp2c67	Q569X9	11	14	27	33	27	17	24	44	48	16	41	11	11	11	13	9	22.3125	48	0.022981997	NA	NA	NA
Transcriptional activator protein Pur-alpha	Pura	P42669	6	8	9	9	7	7	9	7	10	4	8	7	7	6	8	8	7.5	10	0.02319979	321	21.55	23.17
Vesicle-associated membrane protein-associated protein A	Vapa	Q9WV55	10	14	12	12	10	11	12	12	14	9	12	11	13	9	10	10	11.3125	14	0.023446841	249	23.14	25.38
Peroxisomal bifunctional enzyme;Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase;3-hydroxyacyl-CoA dehydrogenase	Ehhadh	Q9DBM2	72	86	93	92	73	81	76	94	90	96	89	85	76	96	78	79	84.75	96	0.023645772	718	23.11	25.35
Programmed cell death protein 6	Pdcd6	P12815	6	8	8	9	6	7	11	5	9	3	9	7	8	5	7	8	7.25	11	0.024191344	191	24.61	27.04
Inorganic pyrophosphatase 2, mitochondrial	Ppa2	Q91VM9;D3Z636;Q91VM9-2;G8JL76	23	22	25	20	19	22	24	21	21	14	28	15	25	18	23	29	21.8125	29	0.024207288	330	24.88	26.78
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	Gnb2	E9QKR0;P62880;D3Z1M1;D3Z1T4;D3YZX3	13	18	16	16	11	14	15	15	15	15	16	16	15	14	16	17	15.125	18	0.024993549	340	23.03	25.49
Zinc-alpha-2-glycoprotein	Azgp1	Q64726	5	5	8	6	4	6	8	5	5	5	9	6	12	6	8	8	6.625	12	0.02494441	307	24.96	27.12
SH3 and PX domain-containing protein 2A	Sh3pxd2a	O89032;O89032-2;O89032-3	0	1	3	1	0	2	0	1	1	2	0	2	1	2	0	1	1.0625	3	0.010885619	1124	22.11	23.69
DnaJ homolog subfamily B member 1	Dnajb1	Q9QYJ3;Q3TYL7	3	1	0	1	3	1	1	0	0	0	2	1	0	1	1	1	1	3	0.011173058	340	23.41	25.21
Kynureninase	Kynu	A2ARD6;Q9CXF0;Q6NSV5;Q3V3G5;A2ARD7;Q8R0F7	28	30	26	32	30	22	26	31	36	21	33	24	23	25	25	29	27.5625	36	0.025749859	464	24.27	26.68
Spectrin beta chain, erythrocyte	Spnb1;Sptb	Q3UGX2;E9Q397;E9Q5I4;P15508	5	10	13	10	6	11	9	14	12	11	9	8	5	10	5	8	9.125	14	0.02602937	2128	23.13	24.77
Endothelial differentiation-related factor 1	Edf1	Q9JMG1	3	2	2	2	2	3	3	2	3	2	3	3	3	1	2	2	2.375	3	0.026077968	148	21.76	23.44
Ras-related protein Rab-7a	Rab7a	P51150	18	19	19	20	18	18	19	20	20	16	17	20	15	19	17	17	18.25	20	0.026290479	207	23.58	26.23
Probable ATP-dependent RNA helicase DDX5	Ddx5	Q8BTS0;Q61656	29	26	25	27	22	29	27	24	21	16	22	18	35	18	26	29	24.625	35	0.026324468	614	23.24	25.14
Peroxisomal membrane protein 4	Pxmp4	Q9JJW0;A2AKD6	2	5	5	5	4	3	5	4	5	5	7	6	2	4	3	2	4.1875	7	0.026440186	212	25.77	28.51
Cytochrome P450 4B1	Cyp4b1	Q64462;F8WGW5;F6X6A4	0	0	1	0	1	0	0	2	2	0	2	0	0	0	0	0	0.5	2	0.015471847	511	25.73	28.14
Hydroxysteroid dehydrogenase-like protein 2	Hsdl2	Q2TPA8;B1AX78;E9Q4I4;E9PYC8	23	30	33	29	15	25	30	26	27	25	30	25	32	22	30	32	27.125	33	0.026721882	490	22.61	24.57
[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2, mitochondrial	Pdk2	Q9JK42	9	6	10	7	8	5	11	8	7	5	7	6	10	5	8	9	7.5625	11	0.026872964	407	24.18	26.65
Gamma-aminobutyric acid receptor-associated protein-like 1	Gabarapl1	Q8R3R8	1	2	2	2	1	2	2	2	2	0	2	1	2	1	2	2	1.625	2	0.005058342	117	26.25	28.58
Max-like protein X	Mlx	A2BFB0;O08609;A2BFB1;O08609-3;A2BFB2;O08609-2	4	2	7	3	2	1	3	1	4	2	4	3	4	2	2	1	2.8125	7	0.028320685	298	22.1	23.55
Gamma-aminobutyric acid receptor-associated protein	Gabarap	Q9DCD6;B1AR50	3	4	4	5	2	4	5	4	7	3	5	4	5	3	3	3	4	7	0.028499104	117	26.28	28.59
Dynactin subunit 1	Dctn1	E9Q586;O08788;E9Q3M3;O08788-2;D3YX34	13	22	16	18	11	15	22	15	14	13	17	11	17	12	15	15	15.375	22	0.028706002	1281	21.31	22.77
	Hnrnpl	G5E924;E9Q8W8	28	29	31	31	22	34	37	28	28	20	35	25	40	20	30	36	29.625	40	0.028501318	NA	NA	NA
Programmed cell death protein 2	Pdcd2	P46718	2	1	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1.4375	2	0.028605183	343	23.68	25.17
Cytochrome P450 2C37	Cyp2c37	P56654;E9PW41	2	2	4	4	2	2	2	6	7	2	7	2	2	2	2	3	3.1875	7	0.028337038	490	24.6	27.18
Isoleucine--tRNA ligase, cytoplasmic	Iars	Q8BU30	16	23	24	22	19	18	21	24	25	14	29	15	16	18	20	24	20.5	29	0.028589998	1262	24.51	26.95
EF-hand domain-containing protein D2	Efhd2	Q8C845;Q9D8Y0	16	16	13	12	11	13	17	12	13	14	13	14	16	16	13	13	13.875	17	0.027302309	240	21.73	23.55
Hydroxyacid-oxoacid transhydrogenase, mitochondrial	Adhfe1	Q8R0N6;Q8R0N6-2	23	23	24	23	17	18	30	18	15	14	26	21	26	15	24	24	21.3125	30	0.027621362	465	22.64	25.12
Eukaryotic initiation factor 4A-III	Eif4a3;Gm8994;Gm5576	Q91VC3;A2AFK7;D3YU49;E9PV04	8	15	16	15	10	14	11	9	15	8	13	9	14	5	10	13	11.5625	16	0.02814054	411	23.61	25.84
3-ketoacyl-CoA thiolase A, peroxisomal	Acaa1a	Q921H8;Q8BLD7	15	16	19	16	12	13	16	15	13	14	16	15	15	14	14	15	14.875	19	0.028559852	424	20.63	22.81
Threonine--tRNA ligase, cytoplasmic	Tars	Q9D0R2	33	35	38	35	28	31	35	35	39	30	41	32	33	31	35	34	34.0625	41	0.027368862	722	24.57	26.58
SAP domain-containing ribonucleoprotein	Sarnp	Q9D1J3	8	8	7	7	8	10	11	8	7	5	8	8	9	6	3	6	7.4375	11	0.028345374	210	21.38	22.85
UPF0160 protein MYG1, mitochondrial	Myg1	Q9JK81;F8WGG3;F7A3N3	2	4	8	5	4	3	4	2	3	4	4	4	3	5	5	4	4	8	0.028083684	380	23.36	24.76
Murinoglobulin-2	Mug2	P28666	13	19	21	24	13	19	15	23	17	13	17	20	14	16	14	13	16.9375	24	0.029253151	1451	23.51	25.95
Peptidyl-prolyl cis-trans isomerase FKBP2	Fkbp2	P45878	9	9	8	10	6	9	11	6	10	6	12	9	11	15	10	9	9.375	15	0.029253249	140	23.34	25.62
Junction plakoglobin	Jup	Q02257	10	7	10	9	7	6	12	9	8	3	10	4	4	5	5	8	7.3125	12	0.029635133	745	22.12	24.38
	Ces2a	Q8QZR3;E9Q3D0	22	19	22	21	21	18	25	19	25	17	23	20	28	16	25	32	22.0625	32	0.029463931	558	23.88	25.97
Prolargin	Prelp	Q9JK53	3	5	4	7	3	6	6	3	4	2	6	3	7	3	7	8	4.8125	8	0.029681986	378	24.25	26.48
Immunoglobulin J chain	Igj	P01592;E9PWK4	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1.875	2	0.030104478	159	22.97	25.12
Histone-binding protein RBBP4	Rbbp4	E9PYH8;Q60972	6	4	6	5	6	8	7	5	9	6	7	2	8	4	5	9	6.0625	9	0.030000291	425	23.46	25.34
Dynactin subunit 2	Dctn2	Q99KJ8	10	11	13	10	6	8	13	6	7	5	11	8	9	7	10	11	9.0625	13	0.029943465	402	21.23	23.32
E3 ubiquitin-protein ligase RNF169	Rnf169	E9Q7F2	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	0.625	1	0.029080531	694	20.93	22.04
Polyadenylate-binding protein 2	Pabpn1;Gm20521	G3UY42;Q8CCS6;Q8CCS6-2;D3Z5F7;G3UWS5;D3Z055;D3YUB9	1	0	3	1	1	0	0	0	0	1	3	1	2	0	1	2	1	3	0.025484304	302	20.76	21.5
COMM domain-containing protein 2	Commd2	Q8BXC6	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0.625	1	0.022195276	199	23.47	25.59
Sodium-coupled neutral amino acid transporter 4	Slc38a4	Q8R1S9	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0.625	1	0.027463675	547	24.94	28.43
Carboxypeptidase D	Cpd	O89001	1	1	1	2	2	2	1	1	2	1	1	1	2	0	0	2	1.25	2	0.006321974	1377	23.15	25.22
Matrin-3	Matr3	Q6ZQ61;Q8K310	27	28	32	31	23	27	28	18	30	16	30	23	31	19	30	27	26.25	32	0.030450114	846	22.09	23.75
Arsenite methyltransferase	As3mt	Q91WU5	17	13	14	11	11	11	16	11	15	9	17	10	11	10	12	15	12.6875	17	0.030715562	376	23.14	25.37
Phosphomevalonate kinase	Pmvk	Q9D1G2;D3YXP6;Q9D1G2-2;Q9D1G2-3	4	7	6	9	1	4	6	6	6	5	7	6	6	7	8	5	5.8125	9	0.031382581	192	23.84	25.69
UDP-glucuronosyltransferase 1-1	Ugt1a1	Q63886	22	17	34	28	31	18	26	40	52	24	49	16	23	15	28	24	27.9375	52	0.031261145	535	24.67	27.34
Selenocysteine-specific elongation factor	Eefsec	Q9JHW4;F8WHS9	18	18	23	16	16	15	13	16	13	11	14	7	12	10	12	16	14.375	23	0.031296152	583	22.8	24.97
